[2026-06-03 03:09:45] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_1
[2026-06-03 03:10:04] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: back_to_movies
[2026-06-03 03:10:09] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-03 03:10:29] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: back_to_movies
[2026-06-03 03:10:33] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_1
[2026-06-03 03:11:18] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_1
[2026-06-03 03:11:22] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 03:11:23] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 03:11:34] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_1
[2026-06-03 03:18:49] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 03:18:53] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 03:19:00] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 03:21:15] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_1
[2026-06-03 03:22:15] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 03:22:19] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 03:22:38] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-03 03:22:45] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: back_to_movies
[2026-06-03 03:22:48] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_1
[2026-06-03 03:22:58] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: back_to_movies
[2026-06-03 03:23:00] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-03 03:23:07] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: back_to_movies
[2026-06-03 03:23:11] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_2
[2026-06-03 03:27:53] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 03:27:54] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 03:28:07] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-03 03:29:07] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 03:29:08] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 03:29:21] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-03 03:30:21] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 03:30:22] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 03:30:34] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-03 03:33:45] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 03:33:47] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 03:33:59] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-03 04:01:46] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 04:01:56] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 04:02:05] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 04:02:08] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
[2026-06-03 04:02:19] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /start
[2026-06-03 04:02:27] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
